banda,Popularity,nome,tempo,Energy,Liveness,userId,Acousticness,instrumentalness,Valence,idMusica,Id,Danceability
Daddy Yankee,69.0,Shaky Shaky,88.007,0.626,0.0631,1553537528027304,0.076,0.0,0.873,58IL315gMSTD37DOZPJ2hf,,0.899
Alice In Chains,68.0,Would?,100.677,0.832,0.091,1553537528027304,0.00033,2e-05,0.585,5sFDReWLrZHLFZFjHsjUTS,,0.305
U2,63.0,Red Flag Day,150.042,0.736,0.0382,1553537528027304,0.0124,0.0,0.632,6W3dke02Sr5Xi7nUVDOSdZ,,0.633
Vitas,66.0,"7, the element",129.649,0.785,0.31,1553537528027304,0.325,0.126,0.96,7J9mBHG4J2eIfDAv5BehKA,,0.727
Alter Bridge,53.0,Blackbird,149.463,0.806,0.116,1553537528027304,0.00499,0.0126,0.132,2o4AknH1hXnleCRW2rH45w,,0.279
BRAZA,38.0,Além,160.02,0.915,0.425,1637518839632801,0.0255,0.00022,0.736,2p6wfoDSuY3xyHmaeeyoJx,,0.615
Natiruts,64.0,Me Namora - Ao Vivo,77.991,0.847,0.781,1637518839632801,0.16,1e-05,0.919,0gRNBFAXFhq1Z8QgTd0aXI,,0.604
Ponto De Equilíbrio,30.0,Só Quero o Que é Meu,119.955,0.486,0.179,1637518839632801,0.242,0.0,0.643,7mQlmSRrM905VINOx38hsD,,0.76
Bob Marley & The Wailers,38.0,"No Woman, No Cry - Live At The Lyceum, London/1975",78.528,0.659,0.732,1637518839632801,0.248,0.033,0.614,2ptL75zGAexrWgBe0e3hBq,,0.652
Forfun,42.0,O Viajante,159.892,0.895,0.341,1637518839632801,0.208,0.00014,0.783,2fLLFm6PHljuNladAJGuyy,,0.571
Mato Seco,43.0,Pedras Pesadas,130.003,0.462,0.153,1637518839632801,0.0159,4e-05,0.627,4vx4kn9JViiFHC5gSuKPpy,,0.914
Forfun,38.0,Alegria Compartilhada,149.993,0.721,0.14,1637518839632801,0.0187,4e-05,0.624,6Za1oixZJNLcKR8SDeH8hq,,0.711
Cidade Verde Sounds,36.0,Missão de Paz,164.078,0.544,0.32,1637518839632801,0.336,0.0,0.75,6jnOCITdl4EypDC4YzU3bA,,0.725
Mato Seco,25.0,Pra Ser Forte (Vou Seguir a Ti),126.02,0.407,0.0448,1637518839632801,0.115,0.0,0.925,72ydY3QevZIej7ehD2n5Xj,,0.943
Edson Gomes,20.0,Perdido De Amor,85.1,0.418,0.0709,1637518839632801,0.216,2e-05,0.728,3bw13wUAA0EI9WxXCNA1Cc,,0.79
O Surto,49.0,A Cera,133.281,0.745,0.0661,1637518839632801,0.0753,0.0,0.491,4QA1Kjk24XZKPxooXeBdNn,,0.589
Edson Gomes,29.0,Criminalidade,81.062,0.479,0.35,1637518839632801,0.0543,0.0,0.725,4SuSfj2fkR3LIvaDuqb45N,,0.78
Forfun,25.0,Malícia (feat. Hélio Bentes),80.048,0.831,0.0313,1637518839632801,0.0252,0.0,0.977,4p1JdiFW9HRzGqZFy30yL1,,0.656
Planta E Raiz,23.0,Qual É A Cara Do Ladrão?,131.892,0.846,0.104,1637518839632801,0.0375,0.0,0.814,6QwmMaRf0U7nXd2CZKU0Fu,,0.775
Ponto De Equilíbrio,24.0,O Inimigo,76.155,0.736,0.192,1637518839632801,0.259,0.0,0.915,0jFt66D0TjVO8vx8pPsQYm,,0.709
Forfun,33.0,A Vida Me Chamou,109.995,0.896,0.0485,1637518839632801,0.0166,0.00013,0.964,23E08owSNE5uE9OypHmGWQ,,0.672
Cidade Verde,26.0,Não tenha medo,157.994,0.563,0.167,1637518839632801,0.0997,0.0,0.699,4JVCYU5Fb0E4n0cY67Tzrx,,0.759
Ponto De Equilíbrio,30.0,Nossa História,130.846,0.724,0.14,1637518839632801,0.343,0.00054,0.843,5rKCM8XNjePhS9srpKPWYm,,0.711
Forfun,41.0,Sol Ou Chuva,95.968,0.63,0.0935,1637518839632801,0.0277,0.00038,0.753,5uWGBUVV4oO0RZByFBswYd,,0.655
Ponto De Equilíbrio,31.0,Odisséia Na Babilônia,145.937,0.725,0.158,1637518839632801,0.327,0.0172,0.866,6SrLc2VSbWZ3EAShYSd026,,0.836
Sublime,33.0,Badfish,92.055,0.427,0.388,1637518839632801,0.0605,0.00103,0.538,3Ig9FB2fqiCo9aAXLK8SqN,,0.812
Natiruts,52.0,Presente De Um Beija-Flor,138.708,0.447,0.161,1637518839632801,0.0208,0.00038,0.872,068a7YQCuL5l3cmTngssI8,,0.682
Planta E Raiz,35.0,Cante A Paz,130.337,0.527,0.108,1637518839632801,0.42,0.0,0.803,1U7CJREnQPD7CM6ejxpTR8,,0.832
Ponto De Equilíbrio,28.0,Janela da Favela,89.294,0.678,0.0992,1637518839632801,0.0701,0.0,0.81,5NoX64Hd6pthIwiqTYqTYw,,0.493
Red Hot Chili Peppers,74.0,Scar Tissue,88.969,0.717,0.108,1637518839632801,0.0779,0.00274,0.547,1G391cbiT3v3Cywg8T7DM1,,0.595
Forfun,36.0,Cigarras,149.973,0.528,0.195,1637518839632801,0.0239,0.00715,0.74,1dJG5SrWQtsy9N0ZLDA5YC,,0.624
Corinne Bailey Rae,37.0,Seasons Change,135.115,0.461,0.277,1637518839632801,0.172,0.112,0.24,1nlf1Q86uIDGvaTpGRynBX,,0.606
CPM 22,38.0,Anteontem,138.893,0.886,0.243,1637518839632801,0.00028,0.0,0.321,2m0qHiErp12rTksdQocEXo,,0.363
Planta E Raiz,23.0,Encontre a Liberdade,121.066,0.362,0.107,1637518839632801,0.827,0.0,0.5,33h5qih29QvvKzuSJwbDBP,,0.657
Titãs,27.0,Sonífera ilha,146.627,0.809,0.0378,1637518839632801,0.294,1e-05,0.937,3CLYqhN4ZmilUp1OFxzWDM,,0.619
Red Hot Chili Peppers,80.0,Under The Bridge,84.581,0.345,0.141,1637518839632801,0.0576,0.0001,0.458,3d9DChrdc6BOeFsbrZ3Is0,,0.559
Planta E Raiz,29.0,500 Anos Depois,129.484,0.602,0.119,1637518839632801,0.456,0.0,0.796,3xXhV74X0UXPpy72WwFJY8,,0.707
Forfun,46.0,História de Verão,93.984,0.933,0.527,1637518839632801,0.0454,0.0,0.334,4xa2ndI0Fezu74J0ftsMeU,,0.411
Max Romeo,47.0,Chase The Devil,147.813,0.459,0.0762,1637518839632801,0.15,0.0,0.662,565Ddlwa4aqx1y4fvGTDt2,,0.827
Bob Marley & The Wailers,57.0,Africa Unite,127.578,0.428,0.0765,1637518839632801,0.177,0.00204,0.761,6x0SCnJPEqbgX085BuJHGU,,0.907
Mato Seco,46.0,Tudo Nos É Dado (Só Nos Falta Fé),142.726,0.46,0.0919,1637518839632801,0.00353,0.0,0.761,2vKak1euzFLHwzo1iOsz19,,0.683
Forfun,44.0,Aí Sim,92.007,0.833,0.0775,1637518839632801,0.00859,3e-05,0.79,15y8v0PJ9uu0AoMi9UisOz,,0.674
The Wailers,57.0,"Get Up, Stand Up",78.142,0.575,0.0645,1637518839632801,0.259,0.0,0.811,1F6A8AHmzEyzPSrEc9aumd,,0.778
Forfun,22.0,Ahorita,98.044,0.848,0.284,1637518839632801,0.00458,6e-05,0.83,1T1ngushHbhCVW5lowUVOE,,0.598
SOJA,63.0,Here I Am,147.81,0.401,0.0983,1637518839632801,0.57,0.0,0.818,2yVhdgjCt0T2keTR1YlKEp,,0.796
SOJA,42.0,Peace In a Time of War,127.227,0.599,0.347,1637518839632801,0.00861,0.0,0.494,30x457e65pCrPVjywH2hJR,,0.788
Planta E Raiz,33.0,De Cara Pro Mundo,84.829,0.743,0.0801,1637518839632801,0.284,0.0,0.817,3wfGneO6eXv5rM5DazKfC6,,0.747
SOJA,45.0,Jah Atmosphere,119.77,0.353,0.288,1637518839632801,0.0241,0.00118,0.399,4tguMbFXEU5A8spKgPIkUN,,0.75
Armandinho,51.0,Casinha,76.147,0.667,0.0547,1637518839632801,0.438,0.0,0.765,5R2m3STpw8QAllKI8OuLR4,,0.734
Jack Johnson,61.0,Upside Down,102.467,0.652,0.165,1637518839632801,0.237,0.00014,0.666,5wtCf1L40Hmf3ptlKfXt1U,,0.79
Cidade Verde Sounds,32.0,Fazendeiro de Apartamento,77.215,0.543,0.246,1637518839632801,0.1,0.0,0.499,7oK0wrAHhSYofdxg3wD8tE,,0.743
Planta E Raiz,43.0,Tô No Barato,121.401,0.805,0.0827,1637518839632801,0.135,0.0,0.969,2nHNea7CYCVzQHmeO7hhsR,,0.813
Sublime,31.0,Caress Me Down,79.554,0.472,0.129,1637518839632801,0.0329,0.0,0.59,2zO0Az7Wns1qX8gdUg6glM,,0.748
Forfun,32.0,Stoked,167.983,0.867,0.335,1637518839632801,0.0437,0.0,0.778,33RkoJ8vi9puEp2QWKO50d,,0.64
Planta E Raiz,43.0,De Você Só Quero Amor,127.015,0.591,0.164,1637518839632801,0.288,0.0,0.855,33i4XUzoOzNpColEgXPW08,,0.911
Damian Marley,48.0,Welcome To Jamrock,76.725,0.568,0.308,1637518839632801,0.0245,0.0,0.817,370ktLojUErayAQjtgABN1,,0.833
BRAZA,49.0,Segue o Baile,180.093,0.756,0.0789,1637518839632801,0.0835,0.0,0.687,3gLskBd8spcyq1AgEVPWWv,,0.617
Jack Johnson,55.0,Times Like These,142.951,0.469,0.109,1637518839632801,0.589,0.0761,0.68,3wV2NK0Bdz5liE0t0iJIHx,,0.797
Scracho,35.0,Cuida de Mim,202.14,0.556,0.111,1637518839632801,0.0327,0.0,0.946,4NWOrdJha7JsQW3imABdSo,,0.607
Bob Marley & The Wailers,38.0,Three Little Birds,73.826,0.473,0.0398,1637518839632801,0.0107,0.0,0.599,4ZJCoXbjQ6v7YoJVjWCGFY,,0.787
SOJA,54.0,Rasta Courage,117.008,0.434,0.167,1637518839632801,0.236,0.0,0.576,4bRruXPJ3SJ8PtyKMFn2HF,,0.868
Forfun,38.0,"Quem Vai, Vai",110.006,0.796,0.0444,1637518839632801,0.0965,0.0,0.911,5qqX94LOlNMaiZ9ceyC5rW,,0.743
Skrillex,62.0,Make It Bun Dem,104.973,0.881,0.0709,1637518839632801,0.00119,0.0,0.337,6AbVJjzv7thIvmMCuhZrmK,,0.556
Cidade Verde Sounds,37.0,Mensagem Antiga,141.931,0.547,0.108,1637518839632801,0.152,0.0,0.714,6khdcizmQfuCS9wuRiVTsl,,0.762
Charlie Brown Jr.,66.0,"Dias De Luta, Dias De Gloria",77.963,0.433,0.101,1637518839632801,0.888,0.0,0.768,006pMMCuRo2TFjh8sNGSov,,0.346
Sublime,25.0,Rivers Of Babylon,113.47,0.403,0.891,1637518839632801,0.592,0.0,0.751,1LAP9TQXzOSSATU4z1uDTR,,0.695
Forfun,30.0,Arriba y Avante,87.972,0.842,0.374,1637518839632801,0.0809,0.0,0.856,1PxruoKG4DZiuviXfzB8Q2,,0.567
Forfun,38.0,Gruvi Quântico,95.958,0.815,0.0603,1637518839632801,0.205,0.0,0.786,1VxSyC1QX0eRI6UmGbop3k,,0.676
Sublime,35.0,Smoke Two Joints,95.162,0.567,0.165,1637518839632801,0.00194,0.0272,0.318,1XbN16Lsf2KBnAo8EuRvTR,,0.719
Scracho,36.0,Lado Bê,79.877,0.575,0.0709,1637518839632801,0.0642,0.0,0.516,2Ljt94ssJHBjGzy4IgEbrz,,0.552
SOJA,62.0,True Love,116.831,0.408,0.103,1637518839632801,0.203,0.0,0.53,2Y9WfjpGt3kzv7cbRl3s3O,,0.86
Israel Kamakawiwo'ole,63.0,Over The Rainbow,85.1,0.116,0.0756,1637518839632801,0.909,3e-05,0.68,3bINd6fURyFLT0sQwkjbCG,,0.677
Ponto De Equilíbrio,36.0,Rastafará,108.82,0.685,0.171,1637518839632801,0.229,0.00782,0.887,48bFWkHuuedYpZVdYHNQjd,,0.608
Scracho,27.0,Orgulhosa,143.947,0.52,0.0895,1637518839632801,0.0148,0.00252,0.9,4jQJVwCsTjAJARB5iFw21w,,0.714
Dezarie,36.0,Woe,78.823,0.804,0.101,1637518839632801,0.24,0.00136,0.85,5cUDNEZFK96v9nZ1lxLKtk,,0.749
Maskavo,51.0,Asas,158.062,0.779,0.37,1637518839632801,0.00383,0.0,0.875,6LFAmpzXbWQEx0NWondpSM,,0.604
Dezarie,37.0,Most High,129.846,0.438,0.0537,1637518839632801,0.065,0.00135,0.681,6R9XSrw2SoSC8g0PJXn7Un,,0.799
SOJA,35.0,Strength To Survive,124.044,0.49,0.202,1637518839632801,0.214,0.0,0.83,6YYQdlftQBQLyk0dJsXlDP,,0.733
Sublime,47.0,Santeria,90.101,0.735,0.124,1637518839632801,0.0222,0.0,0.566,70rXTQgWnZAvgptmoJnFWo,,0.663
Planta E Raiz,52.0,Oh Chuva,127.963,0.759,0.191,1637518839632801,0.441,0.0,0.869,7MIzAYEVULbhSwP6vK1zVH,,0.756
SOJA,59.0,Rest of My Life,125.289,0.588,0.099,1637518839632801,0.0128,0.0,0.668,7aP6GXrxvq0836pzL4kHK8,,0.796
BRAZA,44.0,Embrasa,89.992,0.8,0.246,1637518839632801,0.0155,3e-05,0.722,7kf7ja63p7aXtuHOCl5gGH,,0.705
Scracho,42.0,Passa e Fica,100.04,0.426,0.172,1637518839632801,0.17,1e-05,0.698,7zog4endeojkxQrkjY8kpK,,0.533
Raimundos,23.0,Esporrei na manivela,91.945,0.895,0.166,1637518839632801,0.00014,0.00133,0.326,13bwbTEhrGa3MEUe0vbzw1,,0.378
Pitty,51.0,Máscara,99.958,0.695,0.12,1637518839632801,0.00269,0.0,0.419,2Y0R8ey56JBZj6Au3HenCq,,0.661
Planta E Raiz,30.0,A Planta Que Brota Da Terra,153.707,0.723,0.125,1637518839632801,0.289,0.0,0.853,6toZ6jKtMYb5832NuPfBa9,,0.669
Red Hot Chili Peppers,64.0,Tell Me Baby,107.933,0.993,0.0877,1637518839632801,0.00194,0.00217,0.28,0itNMuBHye9fu392b4e9oa,,0.695
Nirvana,68.0,Lithium,123.223,0.671,0.0671,1637518839632801,0.00182,0.0,0.417,26D1PRJjD9Jj1JGRk88KVc,,0.676
Forfun,31.0,Bolo Cosmoman,149.926,0.812,0.0538,1637518839632801,0.0125,0.0003,0.783,2AdTIEFSzpwMIww2PaSCvL,,0.662
System Of A Down,60.0,ATWA,174.744,0.786,0.597,1637518839632801,0.00317,0.0,0.401,36X2aY9u5BBTisjU5M5omG,,0.352
Charlie Brown Jr.,37.0,Pontes Indestrutiveis - Clip Extra,159.074,0.656,0.566,1637518839632801,0.247,0.0,0.777,4QxyTpPLbBCZFyn5HWSnPo,,0.718
Ponto De Equilíbrio,45.0,Novo Dia,113.967,0.444,0.128,1637518839632801,0.105,0.00891,0.754,5zhROXetl6dhshtjXUjo8C,,0.874
Charlie Brown Jr.,54.0,Senhor do Tempo,97.054,0.631,0.108,1637518839632801,0.762,0.00454,0.644,6C6315RjrDrqj1oqaJVGY8,,0.771
Motörhead,71.0,Ace of Spades,140.079,0.981,0.0852,1637518839632801,0.00242,0.00677,0.234,6EPRKhUOdiFSQwGBRBbvsZ,,0.317
Ultraje a Rigor,44.0,Inútil,175.215,0.97,0.328,1637518839632801,0.0148,0.0,0.733,6NAn7eEExGOlf37BW9sZdJ,,0.416
Slipknot,72.0,Before I Forget,134.724,0.974,0.886,1637518839632801,0.0177,1e-05,0.348,6wqJeItl3Vc3az4ZicSQAB,,0.291
Planta E Raiz,34.0,Voz Do Coração,131.402,0.502,0.223,1637518839632801,0.467,2e-05,0.866,7DNgfjuMnZ3QfmZhTPZ2tw,,0.734
Mato Seco,42.0,Brilho Oculto,129.049,0.569,0.796,1637518839632801,0.0807,0.0,0.254,01N927VN3LvrSepEO1CdV3,,0.706
Scracho,29.0,A Seu Tempo,122.018,0.212,0.143,1637518839632801,0.589,0.00184,0.596,0IELd2vvv0huzITYyLe99Y,,0.62
Academia da Berlinda,31.0,Nêgo Nervoso,91.06,0.758,0.667,1637518839632801,0.529,0.0,0.591,0KymCpEfXdo0pETvOTvpvH,,0.671
Academia da Berlinda,41.0,Cumbia da Praia,103.019,0.627,0.118,1637518839632801,0.37,0.0019,0.946,0TlpRMJ47GStdntPT08XwE,,0.795
Academia da Berlinda,22.0,Cumbia da Praia - Ao Vivo,102.469,0.796,0.0321,1637518839632801,0.154,1e-05,0.839,0fCE5CrGRFiCdNU4W6Xngk,,0.633
Bruno Mars,76.0,Chunky,202.103,0.539,0.125,1637518839632801,0.0208,0.0,0.727,0mBKv9DkYfQHjdMcw2jdyI,,0.571
Claudinho & Buchecha,34.0,Enquanto Eu Viver,129.196,0.908,0.099,1637518839632801,0.0917,0.0,0.759,0qF4GCdBbGTPJB7o85DFay,,0.767
Ponto De Equilíbrio,44.0,Hipócritas,140.005,0.694,0.225,1637518839632801,0.136,0.0,0.827,0x12Va4JiO5Qjqcy3VCFn4,,0.798
Criolo,54.0,Lá Vem Você,164.116,0.589,0.109,10215430654344419,0.675,0.00021,0.957,7n0OAb9pyMzUKCp7LpONFT,,0.749
Pitty,63.0,Na Sua Estante,106.052,0.499,0.298,10215430654344419,0.0195,0.0,0.364,1cc0kyZrheNxOYPn3VoVEH,,0.564
Céu,58.0,Malemolencia,141.886,0.564,0.091,10215430654344419,0.248,9e-05,0.637,3voQ4FSnDNKEKuBNeJjAR5,,0.846
Criolo,50.0,Menino Mimado,143.942,0.603,0.202,10215430654344419,0.592,0.00084,0.818,64ygSCb6X56Uu90GFji1Oo,,0.828
Criolo,48.0,Dilúvio de Solidão,98.061,0.649,0.0864,10215430654344419,0.682,0.00114,0.944,6q30SHZFgyyibMdrErLFaS,,0.726
Criolo,48.0,Nas Águas,115.833,0.658,0.0775,10215430654344419,0.758,1e-05,0.72,3XQ4TLYm122Z10qObjtZ57,,0.756
Criolo,45.0,Filha do Maneco,133.868,0.515,0.0877,10215430654344419,0.769,2e-05,0.544,5OR6OTqTx7pglesgPfxhko,,0.692
Criolo,47.0,Espiral de Ilusão,124.085,0.325,0.143,10215430654344419,0.878,0.00071,0.469,0x3J4AkbRh6tO1vav0Derw,,0.78
Criolo,47.0,Hora da Decisão,143.988,0.574,0.117,10215430654344419,0.671,0.0,0.697,06eVN1CrMUG6ErSjHw1jhb,,0.728
Pitty,63.0,Equalize,88.114,0.62,0.104,10215430654344419,0.00577,0.0,0.426,2iUxWUv5TovjBmayOcWohB,,0.578
Sia,71.0,Cheap Thrills,89.972,0.8,0.0775,10215430654344419,0.0561,0.0,0.728,6b3b7lILUJqXcp6w9wNQSm,,0.592
Criolo,45.0,Calçada,111.031,0.762,0.0881,10215430654344419,0.714,0.0,0.741,7ozcsytYkJTRxtU1vFjL4i,,0.829
AC/DC,81.0,Back In Black,188.386,0.7,0.0828,10215430654344419,0.011,0.00965,0.763,08mG3Y1vljYA6bvDt4Wqkj,,0.31
Criolo,44.0,Boca Fofa,168.054,0.776,0.0822,10215430654344419,0.758,0.0129,0.981,0TArG0WHGnYbsAaxOMVG3E,,0.715
Elza Soares,48.0,A Mulher do Fim do Mundo,156.025,0.552,0.121,10215430654344419,0.609,0.00146,0.29,0YLJhrEH2RgvJ9PCCJ9qJ2,,0.527
Curumin,33.0,Paçoca,103.062,0.829,0.842,10215430654344419,0.256,8e-05,0.793,1L7ZHeIGxGnz8YZzWEluHa,,0.682
Demonios Da Garoa,34.0,Trem Das Onze,92.586,0.494,0.335,10215430654344419,0.46,0.0,0.731,1WsXKsgHzaQKzCikD0LtQF,,0.612
Elza Soares,47.0,"Maria da Vila Matilde - Porque Se a da Penha É Brava, Imagine a da Vila Matilde",152.374,0.686,0.0984,10215430654344419,0.178,0.0,0.826,1XpVftNjBP3Aj7d8BBQcBR,,0.622
Pitty,53.0,Serpente,95.329,0.707,0.175,10215430654344419,0.129,0.00316,0.351,2hTbrjvtzS4SUdnt6pc5CH,,0.521
John Legend,83.0,All of Me,119.93,0.264,0.132,10215430654344419,0.922,0.0,0.331,3U4isOIWM3VvDubwSI3y7a,,0.422
Geraldo Azevedo,51.0,Dona da Minha Cabeça - Ao Vivo,79.979,0.782,0.811,10215430654344419,0.627,0.0,0.41,3nfufBoHEaKSa1RE9JSqEc,,0.641
Céu,47.0,Lenda,129.868,0.493,0.081,10215430654344419,0.524,0.00015,0.605,44lq0DN2TWWfKzstAzKLXJ,,0.793
Pitty,58.0,Me Adora,111.968,0.922,0.141,10215430654344419,0.0597,1e-05,0.549,5fphkEmVP9cTdU0LbuqLQO,,0.588
Curumin,39.0,Bora Passear,81.978,0.465,0.202,10215430654344419,0.112,0.0478,0.826,6WqEmMNyQ9e3HRKzhV3Hr2,,0.827
Guns N' Roses,79.0,Sweet Child O' Mine,125.122,0.911,0.236,10215430654344419,0.0801,0.146,0.63,7o2CTH4ctstm8TNelqjb51,,0.451
Céu,48.0,Perfume do Invisível,110.023,0.355,0.0876,10215430654344419,0.803,0.0155,0.317,31kZMqAJ4QZFQZnQEhfWL7,,0.787
Curumin,33.0,Boca Cheia,102.097,0.484,0.0794,10215430654344419,0.0786,0.00651,0.913,3F02D31yVHSs5OoOkSvirT,,0.838
Academia da Berlinda,41.0,Cumbia da Praia,103.019,0.627,0.118,10215430654344419,0.37,0.0019,0.946,0TlpRMJ47GStdntPT08XwE,,0.795
Queen,79.0,Bohemian Rhapsody - Remastered 2011,71.105,0.404,0.3,10215430654344419,0.271,0.0,0.224,1AhDOtG9vPSOmsWgNW0BEY,,0.414
Céu,50.0,Varanda Suspensa,139.979,0.751,0.0733,10215430654344419,0.124,0.428,0.964,1GpCZ2VpFKuuVGIZq12dum,,0.778
Alceu Valença,48.0,Moça Bonita - Ao Vivo,165.953,0.819,0.805,10215430654344419,0.629,0.0,0.7,1hxOVWDXFaPnQP4eQiV77J,,0.573
Céu,48.0,Concrete Jungle,99.007,0.398,0.05,10215430654344419,0.278,0.00035,0.82,2FgcXLNOqk8jr9S1HGdnio,,0.887
Guns N' Roses,75.0,Paradise City,100.459,0.953,0.321,10215430654344419,0.0175,0.0131,0.426,3YBZIN3rekqsKxbJc9FZko,,0.27
Céu,43.0,A Nave Vai,104.03,0.671,0.123,10215430654344419,0.224,0.0347,0.895,3f7m7aIYVHCzg8bVO9br0b,,0.824
Criolo,45.0,Cria de Favela,112.011,0.739,0.122,10215430654344419,0.427,4e-05,0.745,5MhHqkoNlH6Ugzmxgr7Nb0,,0.705
Aerosmith,76.0,Dream On,160.9,0.433,0.332,10215430654344419,0.388,9e-05,0.224,5MxNLUsfh7uzROypsoO5qe,,0.307
Pabllo Vittar,62.0,Nêga,130.006,0.806,0.154,10215430654344419,0.316,0.0,0.26,5QhbUewFUFoY9Fnl6vOlCU,,0.876
Alceu Valença,50.0,Me dá um Beijo - Ao Vivo,143.811,0.703,0.652,10215430654344419,0.369,0.0,0.652,5RfRhFUe9hErAz5Tn4kj9e,,0.545
Barro,34.0,Vai,120.042,0.745,0.181,10215430654344419,0.562,0.00061,0.847,7mLaDWR7WYz5SCDYUOYlur,,0.674
Pabllo Vittar,77.0,K.O.,155.04,0.713,0.0846,10215430654344419,0.505,0.0,0.922,5zSiXA70xM4kuSt6qim6jl,,0.689
Mc Zaac,75.0,Vai Embrazando,129.969,0.691,0.0706,10215430654344419,0.177,0.00019,0.782,1zhfU6YXa2pXUAQdG1NvBZ,,0.895
MC Fioti,73.0,Joga o Bum Bum Tamtam,132.01,0.667,0.179,10215430654344419,0.826,0.0205,0.556,7KBfjlQ85Fqs2MCCvXSW0c,,0.957
Clarice Falcão,54.0,Oitavo Andar,116.899,0.29,0.0937,10215430654344419,0.782,0.0,0.704,0bXGN9NcmezC64rItLPlec,,0.696
Liniker e os Caramelows,56.0,Zero,77.493,0.289,0.185,10215430654344419,0.823,0.0,0.365,7Jl757vT5eNqemc6PtY2dA,,0.514
Cascatinha & Inhana,24.0,India,69.534,0.052,0.0943,10215430654344419,0.992,0.821,0.154,0Hg8vrsdHyq6DCTI7RhhZk,,0.521
Led Zeppelin,70.0,Good Times Bad Times,93.584,0.717,0.0818,10215430654344419,0.0382,8e-05,0.753,0QwZfbw26QeUoIy82Z2jYp,,0.476
Academia da Berlinda,40.0,Só de Tú,122.165,0.659,0.365,10215430654344419,0.765,0.886,0.941,0Sl8XcWYCcCZs7bNxyP6fB,,0.7
Aerosmith,73.0,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",121.16,0.649,0.216,10215430654344419,0.172,0.0,0.144,0c1gHntWjKD7QShC8s99sq,,0.39
Black Alien,41.0,Na Segunda Vinda,137.23,0.829,0.127,10215430654344419,0.17,0.0,0.432,0xNIIXQrCQq49w0iRpW2bW,,0.499
Antônio Carlos Jobim,61.0,Águas De Março,143.104,0.551,0.111,10215430654344419,0.844,0.0,0.468,1BIDHSkkst8nckyBaHVP6A,,0.637
Fagner,38.0,Pelo Vinho e pelo Pão - Ao Vivo,100.403,0.215,0.691,10215430654344419,0.854,0.0,0.338,1G1wUAjj4FJ1CCFyYQSDQe,,0.637
Pabllo Vittar,77.0,K.O.,155.04,0.713,0.0846,10215430654344419,0.505,0.0,0.922,5zSiXA70xM4kuSt6qim6jl,,0.689
Russo Passapusso,41.0,Paraquedas,93.967,0.89,0.364,10215430654344419,0.0614,0.00012,0.897,1OzkgICCdpZlwIo293jTce,,0.668
Lady Gaga,71.0,Poker Face,118.999,0.806,0.121,10215430654344419,0.118,0.0,0.787,1QV6tiMFM6fSOKOGLMHYYg,,0.851
Djavan,59.0,Flor de Lis,85.793,0.502,0.0622,10215430654344419,0.223,0.0,0.781,1TX4h6MrIZ0K3r4OOG11WO,,0.549
Black Alien,43.0,Perícia Na Delícia,190.154,0.614,0.337,10215430654344419,0.063,3e-05,0.745,1ToSJIoW4JyI6qHrurcNQP,,0.713
Black Alien,37.0,Caminhos do Destino,103.825,0.799,0.108,10215430654344419,0.16,0.0,0.647,1ksjOvoeNah5VGK2sSoTQ3,,0.839
Jorge Ben Jor,52.0,Os Alquimistas Estão Chegando Os Alquimistas,100.359,0.721,0.452,10215430654344419,0.435,0.0008,0.739,1wGg0bL0JX77lpjZMEqpCr,,0.544
Aerosmith,71.0,Sweet Emotion,99.437,0.76,0.104,10215430654344419,0.00298,0.0294,0.491,24NwBd5vZ2CK8VOQVnqdxr,,0.38
Sia,79.0,Cheap Thrills,89.976,0.698,0.0907,10215430654344419,0.0472,0.00143,0.732,27SdWb2rFzO6GWiYDBTD9j,,0.628
Black Alien,37.0,U - Informe,88.003,0.854,0.094,10215430654344419,0.0701,0.0,0.831,2ALa0vqA64VJ6LTijDbGuP,,0.69
Barro,29.0,Ficamos Assim,153.997,0.651,0.0868,10215430654344419,0.111,0.00205,0.766,2WkZakF2kWjDFrusWGYur5,,0.575
Jimi Hendrix,76.0,All Along the Watchtower,113.253,0.805,0.0842,10215430654344419,0.00255,6e-05,0.564,2aoo2jlRnM3A0NyLQqMN2f,,0.438
Barro,36.0,Poliamor,94.95,0.724,0.172,10215430654344419,0.0587,0.00041,0.772,2gEWBNzyEVDnZrjwjMXL7m,,0.565
Bon Jovi,74.0,Livin' On A Prayer,122.666,0.687,0.0896,10215430654344419,0.0591,4e-05,0.854,2tyW1uBUnYMKAFEfKDKi9B,,0.559
Céu,43.0,Arrastar-Te-Ei,95.013,0.629,0.1,10215430654344419,0.541,0.172,0.901,3HRyYWt3p4GxjbpqZien6q,,0.851
Alceu Valença,51.0,Anunciação - Ao Vivo,109.979,0.897,0.984,10215430654344419,0.419,0.0,0.472,3JrFuUhcNLHiD3hJPVaHTy,,0.539
Ed Sheeran,71.0,All Of The Stars,150.066,0.562,0.198,10215430654344419,0.0102,0.00027,0.24,3SZLtkoHoECHHuOnNkNCuS,,0.436
Novos Baianos,58.0,Mistério do Planeta,146.878,0.495,0.083,10215430654344419,0.8,3e-05,0.683,3TAMiM8XFmU9vFd333pgRh,,0.61
